# Downloaded from http://www.uniprot.org/proteomes/?query=*&fil=taxonomy%3A%22Viruses+%5B10239%5D%22
Proteome ID	Organism	Organism ID	Last modified
UP000012041	Nitratiruptor phage NrS-1	1230469	2015-07-08
UP000000290	Lactobacillus phage LLKu	297254	2015-07-08
UP000007964	Lactobacillus phage JCL1032	37105	2015-07-08
UP000000296	Escherichia phage EB49	1048207	2015-07-08
UP000000294	Streptococcus phage YMC-2011	1051631	2015-07-08
UP000007940	Synechococcus phage S-CBS2	753084	2015-07-08
UP000000303	Lactobacillus phage c5	508419	2015-07-08
UP000007941	Synechococcus phage S-CBS3	753085	2015-07-08
UP000008033	Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea))	196398	2015-07-03
UP000007943	Riemerella phage RAP44	936152	2015-07-08
UP000008089	Ovine adenovirus D serotype 7 (isolate OAV287) (OAdV-7) (Ovine adenovirus 7)	114430	2015-07-03
UP000001801	Flexal mammarenavirus (isolate Rat/Brazil/BeAn 293022/1975) (FLEV)	45220	2015-07-03
UP000033300	Staphylococcus phage B236	1636205	2015-07-08
UP000033304	Propionibacterium phage PHL301M00	1500831	2015-07-08
UP000033303	Propionibacterium phage PHL308M00	1500832	2015-07-08
UP000033308	Propionibacterium phage PHL067M01	1500805	2015-07-08
UP000033307	Pseudomonas phage YH30	1636189	2015-07-08
UP000033301	Staphylococcus phage B166	1636204	2015-07-08
UP000033302	Propionibacterium phage PHL199M00	1500830	2015-07-08
UP000033311	Propionibacterium phage PHL055N00	1500802	2015-07-08
UP000033312	Propionibacterium phage PHL041M10	1500801	2015-07-08
UP000033309	Propionibacterium phage PHL064M02	1500804	2015-07-08
UP000033316	Propionibacterium phage PHL116M00	1500816	2015-07-08
UP000033315	Propionibacterium phage PHL009M11	1500798	2015-07-08
UP000033310	Propionibacterium phage PHL064M01	1500803	2015-07-08
UP000033313	Propionibacterium phage PHL030N00	1500800	2015-07-08
UP000033319	Propionibacterium phage PHL092M00	1500813	2015-07-08
UP000033317	Propionibacterium phage PHL114N00	1500815	2015-07-08
UP000033324	Propionibacterium phage PHL082M00	1500808	2015-07-08
UP000033305	Propionibacterium phage PHL194M00	1500829	2015-07-08
UP000033306	Propionibacterium phage PHL179M00	1500828	2015-07-08
UP000033321	Propionibacterium phage PHL082M04	1500811	2015-07-08
UP000033320	Propionibacterium phage PHL085N00	1500812	2015-07-08
UP000033328	Propionibacterium phage PHL163M00	1500826	2015-07-08
UP000033327	Propionibacterium phage PHL171M01	1500827	2015-07-08
UP000033323	Propionibacterium phage PHL082M02	1500809	2015-07-08
UP000033322	Propionibacterium phage PHL082M03	1500810	2015-07-08
UP000033318	Propionibacterium phage PHL095N00	1500814	2015-07-08
UP000033314	Propionibacterium phage PHL025M00	1500799	2015-07-08
UP000001804	Enterobacteria phage SSL2009a	624134	2015-07-08
UP000033330	Propionibacterium phage PHL151N00	1500824	2015-07-08
UP000033331	Propionibacterium phage PHL151M00	1500823	2015-07-08
UP000033325	Propionibacterium phage PHL070N00	1500807	2015-07-08
